Year,Region,Fuel_Type,Transmission,Model,Price_USD,Type
2027,Middle East,Hybrid,Automatic,X6,62618,Forecast
2010,Middle East,Hybrid,Manual,X6,63009,Actual
2011,Middle East,Hybrid,Manual,X6,86618,Actual
2012,Middle East,Hybrid,Manual,X6,58635,Actual
2013,Middle East,Hybrid,Manual,X6,83873,Actual
2014,Middle East,Hybrid,Manual,X6,86957,Actual
2015,Middle East,Hybrid,Manual,X6,57411,Actual
2017,Middle East,Hybrid,Manual,X6,67212,Actual
2018,Middle East,Hybrid,Manual,X6,79636,Actual
2019,Middle East,Hybrid,Manual,X6,55847,Actual
2020,Middle East,Hybrid,Manual,X6,72646,Actual
2021,Middle East,Hybrid,Manual,X6,72330,Actual
2022,Middle East,Hybrid,Manual,X6,62445,Actual
2023,Middle East,Hybrid,Manual,X6,68509,Actual
2024,Middle East,Hybrid,Manual,X6,74782,Actual
2025,Middle East,Hybrid,Manual,X6,73190,Forecast
2026,Middle East,Hybrid,Manual,X6,74840,Forecast
2027,Middle East,Hybrid,Manual,X6,76489,Forecast
2010,Middle East,Petrol,Automatic,X6,75587,Actual
2011,Middle East,Petrol,Automatic,X6,82725,Actual
2012,Middle East,Petrol,Automatic,X6,94167,Actual
2013,Middle East,Petrol,Automatic,X6,69059,Actual
2014,Middle East,Petrol,Automatic,X6,69190,Actual
2015,Middle East,Petrol,Automatic,X6,85771,Actual
2016,Middle East,Petrol,Automatic,X6,60338,Actual
2017,Middle East,Petrol,Automatic,X6,92684,Actual
2018,Middle East,Petrol,Automatic,X6,55881,Actual
2019,Middle East,Petrol,Automatic,X6,65015,Actual
2020,Middle East,Petrol,Automatic,X6,75307,Actual
2021,Middle East,Petrol,Automatic,X6,70622,Actual
2022,Middle East,Petrol,Automatic,X6,71057,Actual
2023,Middle East,Petrol,Automatic,X6,86223,Actual
2024,Middle East,Petrol,Automatic,X6,54594,Actual
2025,Middle East,Petrol,Automatic,X6,63354,Forecast
2026,Middle East,Petrol,Automatic,X6,60252,Forecast
2027,Middle East,Petrol,Automatic,X6,57149,Forecast
2010,Middle East,Petrol,Manual,X6,97873,Actual
2011,Middle East,Petrol,Manual,X6,71502,Actual
2012,Middle East,Petrol,Manual,X6,69825,Actual
2013,Middle East,Petrol,Manual,X6,67605,Actual
2014,Middle East,Petrol,Manual,X6,57241,Actual
2015,Middle East,Petrol,Manual,X6,74844,Actual
2016,Middle East,Petrol,Manual,X6,66176,Actual
2017,Middle East,Petrol,Manual,X6,87644,Actual
2018,Middle East,Petrol,Manual,X6,70959,Actual
2019,Middle East,Petrol,Manual,X6,88895,Actual
2020,Middle East,Petrol,Manual,X6,63918,Actual
2021,Middle East,Petrol,Manual,X6,75402,Actual
2022,Middle East,Petrol,Manual,X6,72576,Actual
2023,Middle East,Petrol,Manual,X6,36135,Actual
2024,Middle East,Petrol,Manual,X6,82181,Actual
2025,Middle East,Petrol,Manual,X6,65984,Forecast
2026,Middle East,Petrol,Manual,X6,66325,Forecast
2027,Middle East,Petrol,Manual,X6,66665,Forecast
2010,Middle East,Diesel,Automatic,i3,86049,Actual
2011,Middle East,Diesel,Automatic,i3,72154,Actual
2012,Middle East,Diesel,Automatic,i3,79353,Actual
2013,Middle East,Diesel,Automatic,i3,81472,Actual
2014,Middle East,Diesel,Automatic,i3,86132,Actual
2015,Middle East,Diesel,Automatic,i3,71110,Actual
2016,Middle East,Diesel,Automatic,i3,81324,Actual
2017,Middle East,Diesel,Automatic,i3,67820,Actual
2018,Middle East,Diesel,Automatic,i3,68995,Actual
2019,Middle East,Diesel,Automatic,i3,80380,Actual
2020,Middle East,Diesel,Automatic,i3,76536,Actual
2021,Middle East,Diesel,Automatic,i3,78386,Actual
2022,Middle East,Diesel,Automatic,i3,60625,Actual
2023,Middle East,Diesel,Automatic,i3,73356,Actual
2024,Middle East,Diesel,Automatic,i3,64505,Actual
2025,Middle East,Diesel,Automatic,i3,64047,Forecast
2026,Middle East,Diesel,Automatic,i3,61880,Forecast
2027,Middle East,Diesel,Automatic,i3,59713,Forecast
2010,Middle East,Diesel,Manual,i3,74767,Actual
2011,Middle East,Diesel,Manual,i3,67285,Actual
2012,Middle East,Diesel,Manual,i3,95781,Actual
2013,Middle East,Diesel,Manual,i3,72402,Actual
2014,Middle East,Diesel,Manual,i3,89235,Actual
2015,Middle East,Diesel,Manual,i3,66061,Actual
2016,Middle East,Diesel,Manual,i3,80662,Actual
2017,Middle East,Diesel,Manual,i3,81641,Actual
2018,Middle East,Diesel,Manual,i3,61190,Actual
2019,Middle East,Diesel,Manual,i3,80536,Actual
2020,Middle East,Diesel,Manual,i3,64074,Actual
2021,Middle East,Diesel,Manual,i3,61509,Actual
2022,Middle East,Diesel,Manual,i3,59708,Actual
2023,Middle East,Diesel,Manual,i3,89340,Actual
2024,Middle East,Diesel,Manual,i3,76447,Actual
2025,Middle East,Diesel,Manual,i3,81559,Forecast
2026,Middle East,Diesel,Manual,i3,85041,Forecast
2027,Middle East,Diesel,Manual,i3,88524,Forecast
2010,Middle East,Electric,Automatic,i3,71897,Actual
2011,Middle East,Electric,Automatic,i3,51575,Actual
2012,Middle East,Electric,Automatic,i3,63518,Actual
2013,Middle East,Electric,Automatic,i3,75176,Actual
2014,Middle East,Electric,Automatic,i3,53288,Actual
2015,Middle East,Electric,Automatic,i3,73541,Actual
2016,Middle East,Electric,Automatic,i3,55831,Actual
2017,Middle East,Electric,Automatic,i3,64959,Actual
2018,Middle East,Electric,Automatic,i3,71928,Actual
2019,Middle East,Electric,Automatic,i3,87558,Actual
2020,Middle East,Electric,Automatic,i3,69400,Actual
2021,Middle East,Electric,Automatic,i3,87828,Actual
2022,Middle East,Electric,Automatic,i3,69769,Actual
2023,Middle East,Electric,Automatic,i3,83256,Actual
2024,Middle East,Electric,Automatic,i3,57389,Actual
2025,Middle East,Electric,Automatic,i3,62651,Forecast
2026,Middle East,Electric,Automatic,i3,58048,Forecast
2027,Middle East,Electric,Automatic,i3,53445,Forecast
2010,Middle East,Electric,Manual,i3,58181,Actual
2011,Middle East,Electric,Manual,i3,78938,Actual
2012,Middle East,Electric,Manual,i3,67787,Actual
2013,Middle East,Electric,Manual,i3,92123,Actual
2014,Middle East,Electric,Manual,i3,75193,Actual
2015,Middle East,Electric,Manual,i3,80167,Actual
2016,Middle East,Electric,Manual,i3,64204,Actual
2017,Middle East,Electric,Manual,i3,74839,Actual
2018,Middle East,Electric,Manual,i3,71816,Actual
2019,Middle East,Electric,Manual,i3,59646,Actual
2020,Middle East,Electric,Manual,i3,61393,Actual
2021,Middle East,Electric,Manual,i3,77889,Actual
2022,Middle East,Electric,Manual,i3,48114,Actual
2023,Middle East,Electric,Manual,i3,44272,Actual
2024,Middle East,Electric,Manual,i3,80841,Actual
2025,Middle East,Electric,Manual,i3,68337,Forecast
2026,Middle East,Electric,Manual,i3,71513,Forecast
2027,Middle East,Electric,Manual,i3,74690,Forecast
2010,Middle East,Hybrid,Automatic,i3,64667,Actual
2011,Middle East,Hybrid,Automatic,i3,77997,Actual
2012,Middle East,Hybrid,Automatic,i3,67648,Actual
2013,Middle East,Hybrid,Automatic,i3,73900,Actual
2014,Middle East,Hybrid,Automatic,i3,56299,Actual
2015,Middle East,Hybrid,Automatic,i3,62991,Actual
2016,Middle East,Hybrid,Automatic,i3,79451,Actual
2017,Middle East,Hybrid,Automatic,i3,72658,Actual
2018,Middle East,Hybrid,Automatic,i3,81812,Actual
2019,Middle East,Hybrid,Automatic,i3,72346,Actual
2020,Middle East,Hybrid,Automatic,i3,81583,Actual
2021,Middle East,Hybrid,Automatic,i3,57808,Actual
2022,Middle East,Hybrid,Automatic,i3,86035,Actual
2023,Middle East,Hybrid,Automatic,i3,64079,Actual
2024,Middle East,Hybrid,Automatic,i3,52010,Actual
2025,Middle East,Hybrid,Automatic,i3,52646,Forecast
2026,Middle East,Hybrid,Automatic,i3,46882,Forecast
2027,Middle East,Hybrid,Automatic,i3,41119,Forecast
2010,Middle East,Hybrid,Manual,i3,68217,Actual
2011,Middle East,Hybrid,Manual,i3,49428,Actual
2012,Middle East,Hybrid,Manual,i3,79637,Actual
2013,Middle East,Hybrid,Manual,i3,76354,Actual
2014,Middle East,Hybrid,Manual,i3,77075,Actual
2015,Middle East,Hybrid,Manual,i3,89854,Actual
2016,Middle East,Hybrid,Manual,i3,74354,Actual
2017,Middle East,Hybrid,Manual,i3,79781,Actual
2018,Middle East,Hybrid,Manual,i3,70859,Actual
2019,Middle East,Hybrid,Manual,i3,75194,Actual
2020,Middle East,Hybrid,Manual,i3,75131,Actual
2021,Middle East,Hybrid,Manual,i3,61598,Actual
2022,Middle East,Hybrid,Manual,i3,77708,Actual
2023,Middle East,Hybrid,Manual,i3,70637,Actual
2024,Middle East,Hybrid,Manual,i3,81892,Actual
2025,Middle East,Hybrid,Manual,i3,79774,Forecast
2026,Middle East,Hybrid,Manual,i3,82144,Forecast
2027,Middle East,Hybrid,Manual,i3,84514,Forecast
2010,Middle East,Petrol,Automatic,i3,77787,Actual
2011,Middle East,Petrol,Automatic,i3,80292,Actual
2012,Middle East,Petrol,Automatic,i3,70874,Actual
2013,Middle East,Petrol,Automatic,i3,70392,Actual
2014,Middle East,Petrol,Automatic,i3,77037,Actual
2015,Middle East,Petrol,Automatic,i3,53234,Actual
2016,Middle East,Petrol,Automatic,i3,80193,Actual
2017,Middle East,Petrol,Automatic,i3,84150,Actual
2018,Middle East,Petrol,Automatic,i3,81735,Actual
2019,Middle East,Petrol,Automatic,i3,95632,Actual
2020,Middle East,Petrol,Automatic,i3,74262,Actual
2021,Middle East,Petrol,Automatic,i3,62368,Actual
2022,Middle East,Petrol,Automatic,i3,87294,Actual
2023,Middle East,Petrol,Automatic,i3,72896,Actual
2024,Middle East,Petrol,Automatic,i3,73817,Actual
2025,Middle East,Petrol,Automatic,i3,72610,Forecast
2026,Middle East,Petrol,Automatic,i3,71293,Forecast
2027,Middle East,Petrol,Automatic,i3,69977,Forecast
2010,Middle East,Petrol,Manual,i3,89152,Actual
2011,Middle East,Petrol,Manual,i3,72003,Actual
2012,Middle East,Petrol,Manual,i3,63851,Actual
2013,Middle East,Petrol,Manual,i3,73264,Actual
2014,Middle East,Petrol,Manual,i3,79154,Actual
2015,Middle East,Petrol,Manual,i3,67151,Actual
2016,Middle East,Petrol,Manual,i3,55645,Actual
2017,Middle East,Petrol,Manual,i3,67536,Actual
2018,Middle East,Petrol,Manual,i3,77538,Actual
2019,Middle East,Petrol,Manual,i3,73002,Actual
2020,Middle East,Petrol,Manual,i3,62464,Actual
2021,Middle East,Petrol,Manual,i3,68243,Actual
2022,Middle East,Petrol,Manual,i3,92947,Actual
2023,Middle East,Petrol,Manual,i3,88289,Actual
2024,Middle East,Petrol,Manual,i3,71488,Actual
2025,Middle East,Petrol,Manual,i3,80755,Forecast
2026,Middle East,Petrol,Manual,i3,81043,Forecast
2027,Middle East,Petrol,Manual,i3,81332,Forecast
2010,Middle East,Diesel,Automatic,i8,50220,Actual
2011,Middle East,Diesel,Automatic,i8,71514,Actual
2012,Middle East,Diesel,Automatic,i8,88769,Actual
2013,Middle East,Diesel,Automatic,i8,83345,Actual
2014,Middle East,Diesel,Automatic,i8,84363,Actual
2015,Middle East,Diesel,Automatic,i8,56259,Actual
2016,Middle East,Diesel,Automatic,i8,61717,Actual
2017,Middle East,Diesel,Automatic,i8,72644,Actual
2018,Middle East,Diesel,Automatic,i8,71336,Actual
2019,Middle East,Diesel,Automatic,i8,83612,Actual
2020,Middle East,Diesel,Automatic,i8,69992,Actual
2021,Middle East,Diesel,Automatic,i8,82110,Actual
2022,Middle East,Diesel,Automatic,i8,77241,Actual
2023,Middle East,Diesel,Automatic,i8,88632,Actual
2024,Middle East,Diesel,Automatic,i8,73384,Actual
2025,Middle East,Diesel,Automatic,i8,79133,Forecast
2026,Middle East,Diesel,Automatic,i8,78783,Forecast
2027,Middle East,Diesel,Automatic,i8,78433,Forecast
2010,Middle East,Diesel,Manual,i8,85460,Actual
2011,Middle East,Diesel,Manual,i8,81596,Actual
2012,Middle East,Diesel,Manual,i8,67728,Actual
2013,Middle East,Diesel,Manual,i8,51341,Actual
2014,Middle East,Diesel,Manual,i8,58293,Actual
2015,Middle East,Diesel,Manual,i8,80889,Actual
2016,Middle East,Diesel,Manual,i8,72145,Actual
2017,Middle East,Diesel,Manual,i8,87587,Actual
2018,Middle East,Diesel,Manual,i8,81081,Actual
2019,Middle East,Diesel,Manual,i8,82454,Actual
2020,Middle East,Diesel,Manual,i8,83445,Actual
2021,Middle East,Diesel,Manual,i8,88142,Actual
2022,Middle East,Diesel,Manual,i8,110060,Actual
2023,Middle East,Diesel,Manual,i8,62404,Actual
2024,Middle East,Diesel,Manual,i8,77424,Actual
2025,Middle East,Diesel,Manual,i8,73181,Forecast
2026,Middle East,Diesel,Manual,i8,69165,Forecast
2027,Middle East,Diesel,Manual,i8,65148,Forecast
2010,Middle East,Electric,Automatic,i8,53798,Actual
2011,Middle East,Electric,Automatic,i8,65142,Actual
2012,Middle East,Electric,Automatic,i8,89573,Actual
2013,Middle East,Electric,Automatic,i8,95760,Actual
2014,Middle East,Electric,Automatic,i8,63949,Actual
2015,Middle East,Electric,Automatic,i8,69388,Actual
2016,Middle East,Electric,Automatic,i8,77355,Actual
2017,Middle East,Electric,Automatic,i8,63345,Actual
2018,Middle East,Electric,Automatic,i8,62076,Actual
2019,Middle East,Electric,Automatic,i8,89274,Actual
2020,Middle East,Electric,Automatic,i8,52876,Actual
2021,Middle East,Electric,Automatic,i8,69824,Actual
2022,Middle East,Electric,Automatic,i8,69110,Actual
2023,Middle East,Electric,Automatic,i8,78703,Actual
2024,Middle East,Electric,Automatic,i8,69209,Actual
2025,Middle East,Electric,Automatic,i8,73014,Forecast
2026,Middle East,Electric,Automatic,i8,73792,Forecast
2027,Middle East,Electric,Automatic,i8,74570,Forecast
2010,Middle East,Electric,Manual,i8,89432,Actual
2011,Middle East,Electric,Manual,i8,113615,Actual
2012,Middle East,Electric,Manual,i8,79173,Actual
2013,Middle East,Electric,Manual,i8,76553,Actual
2014,Middle East,Electric,Manual,i8,94788,Actual
2015,Middle East,Electric,Manual,i8,78616,Actual
2016,Middle East,Electric,Manual,i8,108291,Actual
2017,Middle East,Electric,Manual,i8,76153,Actual
2018,Middle East,Electric,Manual,i8,51421,Actual
2019,Middle East,Electric,Manual,i8,79766,Actual
2020,Middle East,Electric,Manual,i8,77233,Actual
2021,Middle East,Electric,Manual,i8,75251,Actual
2022,Middle East,Electric,Manual,i8,80914,Actual
2023,Middle East,Electric,Manual,i8,77635,Actual
2024,Middle East,Electric,Manual,i8,58440,Actual
2025,Middle East,Electric,Manual,i8,62900,Forecast
2026,Middle East,Electric,Manual,i8,58927,Forecast
2027,Middle East,Electric,Manual,i8,54955,Forecast
2010,Middle East,Hybrid,Automatic,i8,75564,Actual
2011,Middle East,Hybrid,Automatic,i8,61282,Actual
2012,Middle East,Hybrid,Automatic,i8,75783,Actual
2013,Middle East,Hybrid,Automatic,i8,83922,Actual
2014,Middle East,Hybrid,Automatic,i8,68864,Actual
2015,Middle East,Hybrid,Automatic,i8,93443,Actual
2016,Middle East,Hybrid,Automatic,i8,61577,Actual
2017,Middle East,Hybrid,Automatic,i8,65806,Actual
2018,Middle East,Hybrid,Automatic,i8,83992,Actual
2019,Middle East,Hybrid,Automatic,i8,94214,Actual
2020,Middle East,Hybrid,Automatic,i8,84639,Actual
2021,Middle East,Hybrid,Automatic,i8,73016,Actual
2022,Middle East,Hybrid,Automatic,i8,65891,Actual
2023,Middle East,Hybrid,Automatic,i8,85492,Actual
2024,Middle East,Hybrid,Automatic,i8,89688,Actual
2025,Middle East,Hybrid,Automatic,i8,88055,Forecast
2026,Middle East,Hybrid,Automatic,i8,90986,Forecast
2027,Middle East,Hybrid,Automatic,i8,93918,Forecast
2010,Middle East,Hybrid,Manual,i8,76181,Actual
2011,Middle East,Hybrid,Manual,i8,71586,Actual
2012,Middle East,Hybrid,Manual,i8,84492,Actual
2013,Middle East,Hybrid,Manual,i8,55264,Actual
2014,Middle East,Hybrid,Manual,i8,62048,Actual
2015,Middle East,Hybrid,Manual,i8,79508,Actual
2016,Middle East,Hybrid,Manual,i8,58813,Actual
2017,Middle East,Hybrid,Manual,i8,84362,Actual
2018,Middle East,Hybrid,Manual,i8,71074,Actual
2019,Middle East,Hybrid,Manual,i8,68215,Actual
2020,Middle East,Hybrid,Manual,i8,94837,Actual
2022,Middle East,Hybrid,Manual,i8,80888,Actual
2023,Middle East,Hybrid,Manual,i8,81978,Actual
2024,Middle East,Hybrid,Manual,i8,61796,Actual
2025,Middle East,Hybrid,Manual,i8,67340,Forecast
2026,Middle East,Hybrid,Manual,i8,63196,Forecast
2027,Middle East,Hybrid,Manual,i8,59052,Forecast
2010,Middle East,Petrol,Automatic,i8,73775,Actual
2011,Middle East,Petrol,Automatic,i8,68693,Actual
2012,Middle East,Petrol,Automatic,i8,78575,Actual
2013,Middle East,Petrol,Automatic,i8,64899,Actual
2014,Middle East,Petrol,Automatic,i8,79387,Actual
2015,Middle East,Petrol,Automatic,i8,65471,Actual
2016,Middle East,Petrol,Automatic,i8,74796,Actual
2017,Middle East,Petrol,Automatic,i8,77669,Actual
2018,Middle East,Petrol,Automatic,i8,62923,Actual
2019,Middle East,Petrol,Automatic,i8,70716,Actual
2020,Middle East,Petrol,Automatic,i8,74326,Actual
2021,Middle East,Petrol,Automatic,i8,78792,Actual
2022,Middle East,Petrol,Automatic,i8,67470,Actual
2023,Middle East,Petrol,Automatic,i8,75984,Actual
2024,Middle East,Petrol,Automatic,i8,118386,Actual
2025,Middle East,Petrol,Automatic,i8,112000,Forecast
2026,Middle East,Petrol,Automatic,i8,123086,Forecast
2027,Middle East,Petrol,Automatic,i8,134171,Forecast
2010,Middle East,Petrol,Manual,i8,74216,Actual
2011,Middle East,Petrol,Manual,i8,76878,Actual
2012,Middle East,Petrol,Manual,i8,76783,Actual
2013,Middle East,Petrol,Manual,i8,69137,Actual
2014,Middle East,Petrol,Manual,i8,80520,Actual
2015,Middle East,Petrol,Manual,i8,62314,Actual
2016,Middle East,Petrol,Manual,i8,68054,Actual
2017,Middle East,Petrol,Manual,i8,82540,Actual
2018,Middle East,Petrol,Manual,i8,80566,Actual
2019,Middle East,Petrol,Manual,i8,31520,Actual
2020,Middle East,Petrol,Manual,i8,72556,Actual
2021,Middle East,Petrol,Manual,i8,78730,Actual
2022,Middle East,Petrol,Manual,i8,82065,Actual
2023,Middle East,Petrol,Manual,i8,63805,Actual
2024,Middle East,Petrol,Manual,i8,81497,Actual
2025,Middle East,Petrol,Manual,i8,80094,Forecast
2026,Middle East,Petrol,Manual,i8,82564,Forecast
2027,Middle East,Petrol,Manual,i8,85034,Forecast
2010,North America,Diesel,Automatic,3 Series,85516,Actual
2011,North America,Diesel,Automatic,3 Series,68261,Actual
2012,North America,Diesel,Automatic,3 Series,67554,Actual
2013,North America,Diesel,Automatic,3 Series,87941,Actual
2014,North America,Diesel,Automatic,3 Series,95904,Actual
2015,North America,Diesel,Automatic,3 Series,65979,Actual
2016,North America,Diesel,Automatic,3 Series,77327,Actual
2017,North America,Diesel,Automatic,3 Series,61787,Actual
2018,North America,Diesel,Automatic,3 Series,59114,Actual
2019,North America,Diesel,Automatic,3 Series,65071,Actual
2020,North America,Diesel,Automatic,3 Series,76604,Actual
2021,North America,Diesel,Automatic,3 Series,76597,Actual
2022,North America,Diesel,Automatic,3 Series,71069,Actual
2023,North America,Diesel,Automatic,3 Series,81652,Actual
2024,North America,Diesel,Automatic,3 Series,58283,Actual
2025,North America,Diesel,Automatic,3 Series,65126,Forecast
2026,North America,Diesel,Automatic,3 Series,62482,Forecast
2027,North America,Diesel,Automatic,3 Series,59838,Forecast
2010,North America,Diesel,Manual,3 Series,69588,Actual
2011,North America,Diesel,Manual,3 Series,45215,Actual
2012,North America,Diesel,Manual,3 Series,80983,Actual
2013,North America,Diesel,Manual,3 Series,74128,Actual
2014,North America,Diesel,Manual,3 Series,65203,Actual
2015,North America,Diesel,Manual,3 Series,86312,Actual
2016,North America,Diesel,Manual,3 Series,82142,Actual
2017,North America,Diesel,Manual,3 Series,89672,Actual
2018,North America,Diesel,Manual,3 Series,83914,Actual
2019,North America,Diesel,Manual,3 Series,74191,Actual
2020,North America,Diesel,Manual,3 Series,74582,Actual
2021,North America,Diesel,Manual,3 Series,90631,Actual
2022,North America,Diesel,Manual,3 Series,72415,Actual
2023,North America,Diesel,Manual,3 Series,87677,Actual
2024,North America,Diesel,Manual,3 Series,91201,Actual
2025,North America,Diesel,Manual,3 Series,91263,Forecast
2026,North America,Diesel,Manual,3 Series,94132,Forecast
2027,North America,Diesel,Manual,3 Series,97000,Forecast
2010,North America,Electric,Automatic,3 Series,74342,Actual
2011,North America,Electric,Automatic,3 Series,62184,Actual
2012,North America,Electric,Automatic,3 Series,71405,Actual
2013,North America,Electric,Automatic,3 Series,80092,Actual
2014,North America,Electric,Automatic,3 Series,88160,Actual
2015,North America,Electric,Automatic,3 Series,101917,Actual
2016,North America,Electric,Automatic,3 Series,72666,Actual
2017,North America,Electric,Automatic,3 Series,74831,Actual
2018,North America,Electric,Automatic,3 Series,71585,Actual
2019,North America,Electric,Automatic,3 Series,47336,Actual
2020,North America,Electric,Automatic,3 Series,87125,Actual
2021,North America,Electric,Automatic,3 Series,94596,Actual
2022,North America,Electric,Automatic,3 Series,76204,Actual
2023,North America,Electric,Automatic,3 Series,86180,Actual
2024,North America,Electric,Automatic,3 Series,70057,Actual
2025,North America,Electric,Automatic,3 Series,75676,Forecast
2026,North America,Electric,Automatic,3 Series,74009,Forecast
2027,North America,Electric,Automatic,3 Series,72341,Forecast
2010,North America,Electric,Manual,3 Series,76398,Actual
2011,North America,Electric,Manual,3 Series,62367,Actual
2012,North America,Electric,Manual,3 Series,66030,Actual
2013,North America,Electric,Manual,3 Series,48806,Actual
2014,North America,Electric,Manual,3 Series,78441,Actual
2015,North America,Electric,Manual,3 Series,78557,Actual
2016,North America,Electric,Manual,3 Series,64194,Actual
2017,North America,Electric,Manual,3 Series,84098,Actual
2018,North America,Electric,Manual,3 Series,49779,Actual
2019,North America,Electric,Manual,3 Series,65566,Actual
2020,North America,Electric,Manual,3 Series,84704,Actual
2021,North America,Electric,Manual,3 Series,68649,Actual
2022,North America,Electric,Manual,3 Series,87655,Actual
2023,North America,Electric,Manual,3 Series,85677,Actual
2024,North America,Electric,Manual,3 Series,89415,Actual
2025,North America,Electric,Manual,3 Series,93788,Forecast
2026,North America,Electric,Manual,3 Series,97832,Forecast
2027,North America,Electric,Manual,3 Series,101876,Forecast
2010,North America,Hybrid,Automatic,3 Series,86733,Actual
2011,North America,Hybrid,Automatic,3 Series,74167,Actual
2012,North America,Hybrid,Automatic,3 Series,74678,Actual
2013,North America,Hybrid,Automatic,3 Series,91029,Actual
2014,North America,Hybrid,Automatic,3 Series,88193,Actual
2015,North America,Hybrid,Automatic,3 Series,61887,Actual
2016,North America,Hybrid,Automatic,3 Series,67989,Actual
2017,North America,Hybrid,Automatic,3 Series,81332,Actual
2018,North America,Hybrid,Automatic,3 Series,69746,Actual
2019,North America,Hybrid,Automatic,3 Series,70123,Actual
2020,North America,Hybrid,Automatic,3 Series,81441,Actual
2021,North America,Hybrid,Automatic,3 Series,76429,Actual
2022,North America,Hybrid,Automatic,3 Series,97320,Actual
2023,North America,Hybrid,Automatic,3 Series,97632,Actual
2024,North America,Hybrid,Automatic,3 Series,68793,Actual
2025,North America,Hybrid,Automatic,3 Series,80626,Forecast
2026,North America,Hybrid,Automatic,3 Series,78711,Forecast
2027,North America,Hybrid,Automatic,3 Series,76796,Forecast
2010,North America,Hybrid,Manual,3 Series,66447,Actual
2011,North America,Hybrid,Manual,3 Series,60657,Actual
2012,North America,Hybrid,Manual,3 Series,85098,Actual
2013,North America,Hybrid,Manual,3 Series,73637,Actual
2014,North America,Hybrid,Manual,3 Series,60350,Actual
2015,North America,Hybrid,Manual,3 Series,80749,Actual
2016,North America,Hybrid,Manual,3 Series,83024,Actual
2017,North America,Hybrid,Manual,3 Series,56558,Actual
2018,North America,Hybrid,Manual,3 Series,65915,Actual
2019,North America,Hybrid,Manual,3 Series,93018,Actual
2020,North America,Hybrid,Manual,3 Series,59341,Actual
2021,North America,Hybrid,Manual,3 Series,58618,Actual
2022,North America,Hybrid,Manual,3 Series,85263,Actual
2023,North America,Hybrid,Manual,3 Series,69839,Actual
2024,North America,Hybrid,Manual,3 Series,86296,Actual
2025,North America,Hybrid,Manual,3 Series,85004,Forecast
2026,North America,Hybrid,Manual,3 Series,88845,Forecast
2027,North America,Hybrid,Manual,3 Series,92685,Forecast
2010,North America,Petrol,Automatic,3 Series,74352,Actual
2011,North America,Petrol,Automatic,3 Series,69738,Actual
2012,North America,Petrol,Automatic,3 Series,92441,Actual
2013,North America,Petrol,Automatic,3 Series,85335,Actual
2014,North America,Petrol,Automatic,3 Series,73920,Actual
2015,North America,Petrol,Automatic,3 Series,80254,Actual
2016,North America,Petrol,Automatic,3 Series,68553,Actual
2017,North America,Petrol,Automatic,3 Series,104252,Actual
2018,North America,Petrol,Automatic,3 Series,85479,Actual
2019,North America,Petrol,Automatic,3 Series,89491,Actual
2020,North America,Petrol,Automatic,3 Series,73660,Actual
2021,North America,Petrol,Automatic,3 Series,70989,Actual
2022,North America,Petrol,Automatic,3 Series,76455,Actual
2023,North America,Petrol,Automatic,3 Series,68368,Actual
2024,North America,Petrol,Automatic,3 Series,54309,Actual
2025,North America,Petrol,Automatic,3 Series,52790,Forecast
2026,North America,Petrol,Automatic,3 Series,46586,Forecast
2027,North America,Petrol,Automatic,3 Series,40381,Forecast
2010,North America,Petrol,Manual,3 Series,64427,Actual
2011,North America,Petrol,Manual,3 Series,86537,Actual
2012,North America,Petrol,Manual,3 Series,80459,Actual
2013,North America,Petrol,Manual,3 Series,67314,Actual
2014,North America,Petrol,Manual,3 Series,64422,Actual
2015,North America,Petrol,Manual,3 Series,78744,Actual
2016,North America,Petrol,Manual,3 Series,91903,Actual
2017,North America,Petrol,Manual,3 Series,55059,Actual
2018,North America,Petrol,Manual,3 Series,80249,Actual
2019,North America,Petrol,Manual,3 Series,64355,Actual
2020,North America,Petrol,Manual,3 Series,85454,Actual
2021,North America,Petrol,Manual,3 Series,71134,Actual
2022,North America,Petrol,Manual,3 Series,79884,Actual
2023,North America,Petrol,Manual,3 Series,76747,Actual
2024,North America,Petrol,Manual,3 Series,79262,Actual
2025,North America,Petrol,Manual,3 Series,79950,Forecast
2026,North America,Petrol,Manual,3 Series,80911,Forecast
2027,North America,Petrol,Manual,3 Series,81872,Forecast
2010,North America,Diesel,Automatic,5 Series,78115,Actual
2011,North America,Diesel,Automatic,5 Series,80155,Actual
2012,North America,Diesel,Automatic,5 Series,100686,Actual
2013,North America,Diesel,Automatic,5 Series,93939,Actual
2014,North America,Diesel,Automatic,5 Series,79189,Actual
2015,North America,Diesel,Automatic,5 Series,83532,Actual
2016,North America,Diesel,Automatic,5 Series,69132,Actual
2017,North America,Diesel,Automatic,5 Series,61191,Actual
2018,North America,Diesel,Automatic,5 Series,87926,Actual
2019,North America,Diesel,Automatic,5 Series,62248,Actual
2020,North America,Diesel,Automatic,5 Series,72555,Actual
2022,North America,Diesel,Automatic,5 Series,80568,Actual
2023,North America,Diesel,Automatic,5 Series,81716,Actual
2024,North America,Diesel,Automatic,5 Series,73195,Actual
2025,North America,Diesel,Automatic,5 Series,77572,Forecast
2026,North America,Diesel,Automatic,5 Series,78079,Forecast
2027,North America,Diesel,Automatic,5 Series,78586,Forecast
2010,North America,Diesel,Manual,5 Series,74996,Actual
2011,North America,Diesel,Manual,5 Series,88422,Actual
